11,410.659,181.723
12,417.499,183.298
13,421.862,176.999
14,421.926,179.011
17,252.033,236.745
27,423.884,182.817
28,431.815,181.692
30,427.12,183.617
31,424.773,175.887
32,269.062,225.1
43,425.449,185.152
44,421.262,183.118
45,425.039,184.917
46,422.306,183.04
55,396.269,185.142
56,398.987,181.252
58,480.094,230.476
59,388.702,180.484
71,363.48,187.745
72,355.843,187.325
73,356.931,195.44
77,340.555,190.804
85,315.52,199.404
86,297.527,196.211
107,591.743,329.188
128,375.804,214.983
131,495.368,283.389
135,346.82,206.403
172,268.726,157.96
173,270.701,157.6
175,280.344,151.604
176,267.061,154.578
177,271.369,157.891
179,281.927,152.504
180,283.577,156.277
181,286.913,156.023
199,476.913,41.244
204,303.163,175.453
205,309.311,168.497
206,306.142,174.665
208,315.608,171.143
209,321.861,168.808
213,254.405,214.826
214,358.566,147.744
218,330.375,171.33
222,340.264,167.438
225,264.71,224.33
228,553.889,11.18
229,336.858,181.585
233,345.603,181.471
235,356.727,171.246
236,354.434,164.2
237,357.202,169.268
257,528.052,104.922
258,206.47,273.027
321,188.112,309.667
322,327.205,186.44
354,297.23,190.438
355,316.163,187.582
366,134.038,145.066
367,296.316,190.43
368,301.586,193.667
371,305.786,196.564
373,301.95,198.571
381,298.587,182.549
382,298.573,185.622
383,299.884,185.782
395,290.434,190.108
396,300.544,187.966
397,302.927,186.044
399,306.918,192.712
401,312.816,193.119
402,294.885,183.012
425,300.535,178.763
426,296.426,183.685
428,313.419,187.888
431,281.072,170.228
436,653.163,281.229
441,291.389,196.91
446,330.428,216.184
454,436.663,285.446
455,303.98,197.012
456,349.686,219.004
457,339.167,215.978
458,315.59,200.185
461,310.862,200.044
468,301.47,191.258
469,319.814,209.093
472,314.281,197.295
473,310.847,192.172
474,314.08,189.996
475,304.471,193.637
480,83.767,133.176
482,307.916,181.899
485,294.462,187.614
486,302.333,185.667
488,307.873,184.339
497,313.728,184.973
498,319.217,186.835
499,322.681,189.727
500,325.724,186.234
501,345.947,192.695
502,351.312,188.61
503,346.626,182.607
509,286.152,252.384
510,376.143,192.145
511,383.418,189.149
512,385.691,193.258
515,356.819,185.573
518,360.656,176.005
520,357.639,173.939
523,379.101,191.146
524,370.836,188.994
526,376.076,185.817
527,375.426,191.95
528,370.388,191.829
529,375.368,187.862
531,378.569,197.041
532,372.931,190.799
534,369.941,186.218
536,380.598,195.177
538,378.15,191.956
540,388.513,193.706
541,385.767,187.142
542,391.802,191.529
543,397.244,184.753
545,390.958,183.454
554,404.189,193.167
555,391.119,195.015
557,392.464,199.76
558,399.911,193.321
559,398.123,196.005
561,484.715,252.808
572,392.381,196.349
573,402.891,184.238
575,390.362,182.713
580,396.773,182.243
584,392.782,191.444
585,387.626,189.334
586,398.924,191.494
587,393.945,191.609
588,399.923,188.969
589,393.811,184.842
590,398.712,187.499
591,392.749,184.124
592,401.247,187.833
594,395.049,180.889
600,401.494,187.187
601,404.294,186.585
603,397.561,185.711
604,398.593,188.814
607,385.047,179.119
616,400.541,190.182
618,394.307,186.985
619,399.372,189.266
620,398.304,190.184
621,278.21,92.184
624,479.81,247.401
629,382.233,187.541
631,383.174,185.084
648,389.481,179.891
650,389.826,175.801
654,380.491,177.451
658,393.985,183.093
663,392.109,186.351
664,391.834,189.326
665,392.742,182.639
669,380.957,185.934
677,255.929,292.811
682,461.84,229.929
683,395.748,184.943
684,406.664,197.405
689,392.575,187.45
693,374.972,202.474
697,395.921,187.796
698,400.968,195.785
699,406.604,194.288
707,261.377,298.062
714,373.029,157.349
719,408.312,190.999
720,400.147,191.302
721,400.569,194.057
722,396.604,191.899
727,179.47,36
735,402.757,197.716
742,410.343,199.081
750,597.273,52.942
752,209.668,322.002
753,404.26,192.029
754,406.267,186.118
762,396.547,189.952
765,542.999,80.193
767,398.214,191.103
768,400.001,192.444
769,402.278,179.772
782,386.005,178.718
783,386.136,188.208
784,388.85,181.108
812,400.318,173.073
815,550.992,266.56
822,414.799,167.872
825,464.092,118.679
827,401.683,186.679
843,659.27,330.618
850,413.597,193.281
852,430.075,183.295
858,585.992,286.997
871,634.482,326.398
875,439.567,189.439
878,220.042,346.852
879,226.22,345.656
881,426.413,191.481
887,426.158,186.93
888,426.23,184.268
893,411.682,188.147
895,345.602,235.824
897,418.648,180.792
909,430.897,164.107
911,405.138,178.538
927,401.416,177.965
935,270.168,265.198
938,403.954,179.427
955,403.256,181.986
961,399.678,185.909
967,394.824,179.57
968,553.811,289.443
978,404.356,179.365
982,553.487,290.883
985,397.365,177.117
990,400.935,185.898
994,584.38,310.588
1000,409.831,182.578
1001,404.833,180.536
1007,410.801,181.269
1009,589.036,308.579
1020,424.738,186.78
1021,420.224,187.878
1023,417.668,181.251
1032,432.561,184.185
1033,416.56,188.758
1034,414.321,188.811
1036,411.362,192.104
1040,406.592,203.921
1042,420.842,200.925
1043,417.474,197.387
1047,417.861,186.41
1048,415.51,187.937
1061,421.808,186.745
1065,423.952,183.785
1066,431.183,184.313
1071,263.662,279.394
1072,418.966,174.446
1076,413.486,177.207
1077,404.188,174.264
1086,319.124,239.891
1088,417.719,179.035
1102,418.01,172.901
1115,446.678,170.286
1116,421.934,175.929
